,TOR1AIP1,SREBF1,LMNB1,ITCH,TCAP,FMR1,ASCC1,EP300,TRIP4,CTBP1,HDAC6,VDR,ATP6AP2,SEPTIN9,VMA21,ACTG1,ACTB,SLC25A4,LMNA,FUS,ERLIN2,FKBP14,COL6A2,TCTN2,STIM1,COL6A1,COQ9,MICU1,HNF1A,TRDN,RYR1,ECEL1,MYBPC1,MYL1,TMEM260,TNNI2,CSNK2A1,MYOD1,PAX7,FXR1,TPM1,ROGDI,PYROXD1,DHX16,AP2M1,MEGF10,DOK7,APP,SPEG,CFL2,MMP9,COL12A1,ORAI1,CACNA1S,ADSS1,STAC3,CUL3,KBTBD13,GAN,TNNT3,ACTA1,DNM2,TPM3,TNNT1,MYH7,MTM1,BIN1,TTN,MYH2,TPM2,MYH3,ACTN2,MYH8,MYPN,NEB,KLHL41,KLHL40
TOR1AIP1,4,0,2,0,1,1,2,1,3,0,0,0,0,1,2,0,0,2,4,1,3,2,4,0,2,4,0,1,0,0,3,0,2,1,0,0,0,0,1,0,1,0,3,1,0,0,1,0,0,4,0,4,4,1,0,2,0,2,0,0,3,2,2,0,2,1,1,3,0,3,2,2,0,3,3,4,2
SREBF1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
LMNB1,2,1,6,1,0,5,3,4,4,3,1,3,1,2,2,3,4,3,5,3,4,1,5,1,2,4,0,0,0,0,5,2,2,1,0,2,2,1,3,1,0,1,3,0,0,3,2,1,0,3,1,4,4,1,0,3,1,2,1,2,4,1,4,0,4,2,2,4,1,5,5,2,2,2,3,4,3
ITCH,0,1,1,4,0,3,0,3,1,4,1,3,1,2,1,2,3,1,4,1,0,2,2,2,2,1,1,2,0,0,3,2,0,1,0,1,1,2,2,2,0,1,1,0,1,1,1,0,1,2,1,2,2,0,0,4,1,2,0,1,3,3,3,1,2,2,2,3,1,4,3,0,2,2,2,2,1
TCAP,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,0,2,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,2,0,2,2,1,1,0,0,1,0,0,2,1,1,1,2,0,0,2,1,2,0,2,0,2,2,2,0
FMR1,1,1,5,3,0,8,2,4,4,5,1,5,3,3,2,3,5,4,7,4,3,3,5,2,2,4,1,1,0,0,7,2,1,1,0,2,2,2,4,2,0,1,4,0,1,5,2,1,1,4,1,5,4,2,0,5,2,3,1,2,6,3,6,1,4,2,2,4,1,7,5,2,2,3,4,5,3
ASCC1,2,0,3,0,0,2,8,2,6,1,0,0,0,2,2,0,1,3,7,3,4,2,4,0,1,4,0,0,0,0,7,1,3,3,0,1,0,2,5,2,0,0,3,1,0,3,5,1,1,5,0,4,2,1,0,4,0,4,1,0,7,4,7,0,2,5,4,3,0,7,6,1,2,4,7,8,7
EP300,1,1,4,3,0,4,2,8,3,6,1,4,1,2,2,4,5,2,8,2,3,1,5,3,3,4,1,1,0,0,7,3,3,2,0,3,4,4,3,1,0,1,3,0,1,3,4,0,1,6,1,5,4,0,0,5,1,5,1,3,7,4,7,0,5,6,5,6,3,8,7,2,2,5,5,5,2
TRIP4,3,0,4,1,0,4,6,3,13,4,0,2,2,1,3,1,2,4,12,3,6,2,9,1,1,9,0,1,0,0,9,2,5,7,0,3,2,4,8,3,0,0,8,1,0,6,6,1,3,9,0,9,5,1,0,5,1,10,3,2,12,5,12,2,7,6,7,7,3,12,7,3,2,10,12,13,6
CTBP1,0,1,3,4,0,5,1,6,4,8,1,5,2,2,2,4,5,2,8,2,2,2,6,3,2,5,1,2,0,0,7,3,2,3,0,3,4,4,5,3,0,1,3,0,1,5,4,0,2,4,1,6,3,0,0,5,2,4,1,3,7,4,7,1,6,5,5,6,3,8,7,2,2,4,5,5,2
