,TRIP4,VMA21,SLC25A4,LMNA,FKBP14,COL6A2,STIM1,COL6A1,MICU1,RYR1,ECEL1,MYBPC1,MYL1,TNNI2,PAX7,FXR1,PYROXD1,MEGF10,DOK7,SPEG,CFL2,COL12A1,ORAI1,CACNA1S,STAC3,KBTBD13,TNNT3,ACTA1,DNM2,TPM3,TNNT1,MYH7,MTM1,BIN1,TTN,MYH2,TPM2,MYH3,ACTN2,MYH8,MYPN,NEB,KLHL41,KLHL40
TOR1AIP1,3,2,2,4,2,4,2,4,1,3,0,2,1,0,1,0,3,0,1,0,4,4,4,1,2,2,0,3,2,2,0,2,1,1,3,0,3,2,2,0,3,3,4,2
SREBF1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
LMNB1,4,2,3,5,1,5,2,4,0,5,2,2,1,2,3,1,3,3,2,0,3,4,4,1,3,2,2,4,1,4,0,4,2,2,4,1,5,5,2,2,2,3,4,3
ITCH,1,1,1,4,2,2,2,1,2,3,2,0,1,1,2,2,1,1,1,1,2,2,2,0,4,2,1,3,3,3,1,2,2,2,3,1,4,3,0,2,2,2,2,1
TCAP,0,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,1,0,1,0,2,1,1,1,2,0,0,2,1,2,0,2,0,2,2,2,0
FMR1,4,2,4,7,3,5,2,4,1,7,2,1,1,2,4,2,4,5,2,1,4,5,4,2,5,3,2,6,3,6,1,4,2,2,4,1,7,5,2,2,3,4,5,3
ASCC1,6,2,3,7,2,4,1,4,0,7,1,3,3,1,5,2,3,3,5,1,5,4,2,1,4,4,0,7,4,7,0,2,5,4,3,0,7,6,1,2,4,7,8,7
EP300,3,2,2,8,1,5,3,4,1,7,3,3,2,3,3,1,3,3,4,1,6,5,4,0,5,5,3,7,4,7,0,5,6,5,6,3,8,7,2,2,5,5,5,2
CTBP1,4,2,2,8,2,6,2,5,2,7,3,2,3,3,5,3,3,5,4,2,4,6,3,0,5,4,3,7,4,7,1,6,5,5,6,3,8,7,2,2,4,5,5,2
HDAC6,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
VDR,2,2,1,5,2,4,2,3,1,4,2,1,1,2,2,2,1,3,1,1,2,4,3,0,3,2,2,4,2,4,1,3,2,2,4,1,5,4,1,1,2,2,2,1
ATP6AP2,2,2,1,3,1,2,0,2,1,3,1,1,1,1,2,1,2,3,1,1,2,2,0,1,2,3,1,3,2,3,1,1,1,2,2,1,3,2,1,0,3,3,3,1
SEPTIN9,1,2,5,6,2,4,2,3,1,5,2,2,0,1,4,1,3,2,4,1,4,1,2,2,6,2,1,4,3,4,1,3,3,2,4,1,5,4,2,2,2,4,5,2
ACTG1,1,1,2,4,0,3,1,2,1,3,3,1,0,2,2,1,2,2,2,0,2,2,2,0,2,2,2,3,1,3,0,4,2,2,4,2,4,4,1,2,2,2,2,0
ACTB,2,1,3,5,1,3,2,2,1,5,3,1,0,2,3,1,3,3,2,0,3,3,3,0,3,2,2,5,2,5,0,5,3,2,4,2,6,4,1,3,2,3,3,1
FUS,3,2,6,6,2,5,1,5,2,9,2,3,1,1,5,1,6,3,5,0,4,4,3,2,4,3,1,8,3,8,0,6,4,3,5,4,8,4,3,2,3,8,7,3
ERLIN2,6,3,3,6,2,6,1,6,0,6,1,5,2,2,5,0,5,3,4,1,5,5,3,1,4,4,2,6,1,6,0,4,4,3,5,2,6,5,3,1,4,6,7,4
TCTN2,1,1,1,3,1,1,1,1,1,3,2,1,0,1,2,0,2,1,2,0,3,2,1,0,2,2,1,3,2,3,0,2,3,2,2,2,3,2,1,1,2,2,2,0
COQ9,0,1,1,2,1,1,2,1,0,2,0,1,0,0,1,0,0,1,1,1,2,1,1,0,2,0,0,2,2,2,1,1,2,1,1,0,2,0,1,0,0,1,1,0
HNF1A,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0
TRDN,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0
TMEM260,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0
CSNK2A1,2,1,2,4,0,3,0,3,1,4,2,2,1,2,3,0,3,3,3,1,3,3,1,0,2,3,2,4,1,4,0,4,3,3,4,3,4,4,2,1,3,3,3,0
MYOD1,4,4,3,8,2,5,2,5,2,7,3,4,2,3,5,1,3,4,6,3,7,4,1,1,5,7,2,8,4,8,3,5,5,6,6,4,8,6,4,2,7,8,8,3
TPM1,0,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,2,2,2,1,0,1,0,2,1,1,1,2,0,0,2,1,2,0,2,0,2,2,2,0
ROGDI,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
DHX16,1,1,1,2,1,1,1,1,1,2,0,0,1,0,1,1,2,1,0,1,2,2,1,0,0,1,0,2,2,1,0,1,1,1,2,0,2,0,1,0,2,2,2,0
AP2M1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
APP,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1
MMP9,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
ADSS1,0,1,2,1,1,2,1,2,0,2,0,0,0,0,0,0,0,1,1,1,2,2,1,1,0,1,0,2,1,2,1,2,1,1,2,1,2,0,1,0,2,2,2,1
CUL3,1,1,1,2,1,2,0,2,1,2,0,0,1,0,1,1,0,2,0,1,0,2,1,0,1,1,0,2,1,2,1,1,0,1,2,0,2,2,0,0,1,1,1,1
GAN,3,1,2,4,0,3,1,3,1,4,1,2,1,1,2,2,4,3,2,2,3,4,1,0,0,3,1,5,3,5,0,3,3,4,4,2,5,1,2,0,4,5,4,1
