omim	description
619178	MYOFIBRILLAR MYOPATHY 11; MFM11
618975	MYOPATHY, CONGENITAL, WITH DIAPHRAGMATIC DEFECTS, RESPIRATORY INSUFFICIENCY, AND DYSMORPHIC FACIES; MYODRIF
618823	MYOPATHY, CONGENITAL PROXIMAL, WITH MINICORE LESIONS; MYOPMIL
618822	MYOPATHY, CONGENITAL, WITH RESPIRATORY INSUFFICIENCY AND BONE FRACTURES; MYORIBF
618654	MYOPATHY, CONGENITAL, WITH STRUCTURED CORES AND Z-LINE ABNORMALITIES; MYOCOZ
618578	MYOPATHY, CONGENITAL, PROGRESSIVE, WITH SCOLIOSIS; MYOSCO
618524	MYOPATHY, CONGENITAL, WITH TREMOR; MYOTREM
618414	MYOPATHY, CONGENITAL, WITH FAST-TWITCH (TYPE II) FIBER ATROPHY; MYOFTA
617519	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEUROPATHY, AND DEAFNESS; NEDHND
617336	NEMALINE MYOPATHY 11, AUTOSOMAL RECESSIVE; NEM11
616549	KLIPPEL-FEIL SYNDROME 4, AUTOSOMAL RECESSIVE, WITH NEMALINE MYOPATHY AND FACIAL DYSMORPHISM; KFS4
616165	NEMALINE MYOPATHY 10; NEM10
615731	NEMALINE MYOPATHY 9; NEM9
615368	LETHAL CONGENITAL CONTRACTURE SYNDROME 5; LCCS5
615348	NEMALINE MYOPATHY 8; NEM8
613204	MUSCULAR DYSTROPHY, CONGENITAL, DUE TO INTEGRIN ALPHA-7 DEFICIENCY
613076	MYOPATHY, MITOCHONDRIAL PROGRESSIVE, WITH CONGENITAL CATARACT AND DEVELOPMENTAL DELAY; MPMCD
612540	MYOPATHY, CONGENITAL, COMPTON-NORTH; MYPCN
610687	NEMALINE MYOPATHY 7; NEM7
609285	NEMALINE MYOPATHY 4; NEM4
609284	NEMALINE MYOPATHY 1; NEM1
609273	NEMALINE MYOPATHY 6; NEM6
605637	MYOPATHY, PROXIMAL, WITH OPHTHALMOPLEGIA; MYPOP
605355	NEMALINE MYOPATHY 5; NEM5
602771	RIGID SPINE MUSCULAR DYSTROPHY 1; RSMD1
300580	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION, X-LINKED; CFTDX
256030	NEMALINE MYOPATHY 2; NEM2
255995	MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB
255600	MYOSCLEROSIS, AUTOSOMAL RECESSIVE
255310	MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION; CFTD
255300	BATTEN-TURNER CONGENITAL MYOPATHY
254940	CAREY-FINEMAN-ZITER SYNDROME; CFZS
254300	MYASTHENIC SYNDROME, CONGENITAL, 10; CMS10
232500	GLYCOGEN STORAGE DISEASE IV; GSD4
218040	COSTELLO SYNDROME; CSTLO
161800	NEMALINE MYOPATHY 3; NEM3
158810	BETHLEM MYOPATHY 1; BTHLM1
117000	CENTRAL CORE DISEASE OF MUSCLE; CCD
